11000;Australia;Rockhampton;Married;50;Male;90000,00;2;0;Bachelors;Professional;1;0;1;1-10 Orders;1-2 Miles;835;8;8248,99
11001;Australia;Seaford;Single;45;Male;60000,00;3;3;Bachelors;Professional;0;1;1;11-20 Orders;0-1 Miles;1060;11;6383,88
11002;Australia;Hobart;Married;50;Male;60000,00;3;3;Bachelors;Professional;1;1;1;1-10 Orders;2-5 Miles;778;4;8114,04
11003;Australia;North Ryde;Single;48;Female;70000,00;0;0;Bachelors;Professional;0;1;1;1-10 Orders;5-10 Miles;863;9;8139,29
11004;Australia;Wollongong;Single;42;Female;80000,00;5;5;Bachelors;Professional;1;4;1;1-10 Orders;1-2 Miles;829;6;8196,01
11005;Australia;East Brisbane;Single;45;Male;70000,00;0;0;Bachelors;Professional;1;1;1;1-10 Orders;5-10 Miles;854;6;8121,33
11006;Australia;Matraville;Single;45;Female;70000,00;0;0;Bachelors;Professional;1;1;1;1-10 Orders;5-10 Miles;841;5;8119,03
11007;Australia;Warrnambool;Married;52;Male;60000,00;3;3;Bachelors;Professional;1;2;1;1-10 Orders;0-1 Miles;800;8;8211,00
11008;Australia;Bendigo;Single;46;Female;60000,00;4;4;Bachelors;Professional;1;3;1;1-10 Orders;10+ Miles;767;7;8106,31
11009;Australia;Hervey Bay;Single;52;Male;70000,00;0;0;Bachelors;Professional;0;1;1;1-10 Orders;5-10 Miles;833;5;8091,33
11010;Australia;East Brisbane;Single;52;Female;70000,00;0;0;Bachelors;Professional;0;1;1;1-10 Orders;5-10 Miles;860;4;8088,04
11011;Australia;East Brisbane;Married;52;Male;60000,00;4;4;Bachelors;Professional;1;4;1;1-10 Orders;10+ Miles;810;4;8133,04
11012;United States;Bremerton;Married;42;Female;100000,00;2;0;Bachelors;Management;1;2;1;1-10 Orders;1-2 Miles;213;5;81,26
11013;United States;Lebanon;Married;42;Male;100000,00;2;0;Bachelors;Management;1;3;1;1-10 Orders;0-1 Miles;283;5;113,96
11014;United States;Redmond;Single;48;Female;100000,00;3;0;Bachelors;Management;0;3;1;1-10 Orders;1-2 Miles;38;6;138,45
11015;United States;Burbank;Single;37;Female;30000,00;0;0;Partial College;Skilled Manual;0;1;0;1-10 Orders;5-10 Miles;0;3;2500,97
11016;United States;Imperial Beach;Married;37;Male;30000,00;0;0;Partial College;Skilled Manual;1;1;0;1-10 Orders;5-10 Miles;0;3;2332,28
11017;Australia;Sunbury;Single;72;Female;20000,00;4;0;High School;Skilled Manual;1;2;1;1-10 Orders;5-10 Miles;1006;4;6434,31
11018;Australia;Bendigo;Single;66;Male;30000,00;2;0;Partial College;Clerical;1;2;1;1-10 Orders;5-10 Miles;1011;7;6533,28
11019;Canada;Langley;Single;38;Male;40000,00;0;0;High School;Skilled Manual;0;2;1;31-40 Orders;5-10 Miles;334;33;882,70
11020;Canada;Metchosin;Single;37;Male;40000,00;0;0;High School;Skilled Manual;0;2;0;1-10 Orders;1-2 Miles;0;2;2316,97
